c,time
1.0,0
1.0,1
0.999995,2
0.9999995,3
0.99999573,4
0.99999983,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
0.99999982,11
0.99999633,12
1.0,13
1.0,14
1.0,15
1.0,16
1.0,17
0.9999964,18
1.0,19
0.999995,20
0.999995,21
0.999995,22
1.0,23
1.0,24
1.0,25
1.0,26
1.0,27
0.9999984,28
0.99999759,29
1.0,30
1.0,31
1.0,32
0.99999706,33
0.99999715,34
0.99999875,35
1.0,36
0.99999863,37
1.0,38
1.0,39
1.0,40
1.0,41
1.0,42
1.0,43
1.0,44
1.0,45
1.0,46
1.0,47
1.0,48
1.0,49
1.0,50
1.0,51
1.0,52
1.0,53
1.0,54
1.0,55
1.0,56
1.0,57
1.0,58
1.0,59
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.00000017,8
1.0,9
0.99999999,10
1.0,11
1.0,12
1.0,13
1.0,14
1.0000224,15
0.99999999,16
0.99999999,17
1.0,18
1.0,19
1.0,20
1.0,21
1.00005,22
1.00005,23
1.0,24
1.00004622,25
0.99999999,26
1.00000718,27
1.0,28
0.99999999,29
0.99999999,30
0.99999999,31
0.99999999,32
0.99999999,33
0.99999276,34
0.99999999,35
1.0,36
1.0,37
1.0,38
1.0,39
1.0,40
1.0,41
1.0,42
0.99999999,43
1.0,44
1.0,45
1.0,46
0.99999999,47
1.0,48
1.0,49
1.0,50
1.0,51
1.0000024,52
1.0,53
1.0,54
0.99999999,55
1.0,56
1.0,57
1.0,58
1.0,59
