Datetime,Open,High,Low,Close,Volume,ema,Date
2022-06-28,1193.582275390625,1197.9241943359375,1183.012451171875,1185.11376953125,0,1194.9009334543466,2022-06-28
2022-06-28,1185.3831787109375,1189.00439453125,1177.6365966796875,1177.6365966796875,0,1190.584849260682,2022-06-28
2022-06-28,1174.32421875,1176.267333984375,1170.233154296875,1175.1044921875,270575616,1186.7147599923865,2022-06-28
2022-06-28,1175.1077880859375,1181.5086669921875,1174.528564453125,1181.5086669921875,58524672,1185.4132367423367,2022-06-28
2022-06-28,1181.62353515625,1185.65771484375,1179.7225341796875,1185.65771484375,52287488,1185.47435626769,2022-06-28
2022-06-28,1185.69775390625,1189.693115234375,1185.2093505859375,1186.755859375,0,1185.794732044517,2022-06-28
2022-06-28,1185.621826171875,1198.64892578125,1185.621826171875,1198.64892578125,204140544,1189.0082804787005,2022-06-28
2022-06-28,1198.5555419921875,1208.162353515625,1198.5555419921875,1205.142578125,179493888,1193.041854890275,2022-06-28
2022-06-28,1205.43505859375,1220.9219970703125,1204.2801513671875,1220.9219970703125,504516608,1200.0118904352846,2022-06-28
2022-06-28,1221.8663330078125,1225.8116455078125,1221.4814453125,1222.60302734375,284206080,1205.659674662401,2022-06-28
2022-06-28,1222.125244140625,1222.431396484375,1218.1600341796875,1219.776123046875,88876032,1209.1887867585194,2022-06-28
2022-06-28,1219.6759033203125,1225.7650146484375,1217.519287109375,1221.8609619140625,0,1212.3568305474053,2022-06-28
2022-06-28,1222.0032958984375,1228.8826904296875,1222.0032958984375,1223.0518798828125,0,1215.030592881257,2022-06-28
2022-06-28,1221.8287353515625,1229.739013671875,1220.052734375,1227.9267578125,0,1218.2546341140678,2022-06-28
2022-06-28,1227.724609375,1227.749267578125,1199.7452392578125,1202.24072265625,0,1214.2511562496134,2022-06-28
2022-06-28,1203.1632080078125,1203.1632080078125,1186.0660400390625,1186.0660400390625,107742208,1207.2048771969758,2022-06-28
2022-06-28,1185.385009765625,1191.316162109375,1182.775390625,1189.2894287109375,0,1202.7260150754662,2022-06-28
2022-06-28,1189.0252685546875,1189.0252685546875,1178.829833984375,1179.6177978515625,245678080,1196.9489607694902,2022-06-28
2022-06-28,1179.0986328125,1179.0986328125,1160.0118408203125,1164.3433837890625,49057792,1188.7975665243832,2022-06-28
2022-06-28,1164.3948974609375,1164.3948974609375,1156.650390625,1157.5870361328125,0,1180.9949339264906,2022-06-28
2022-06-28,1157.830322265625,1162.70166015625,1157.1912841796875,1161.83056640625,175551488,1176.2038420464305,2022-06-28
2022-06-28,1161.990478515625,1166.2789306640625,1161.990478515625,1166.2789306640625,109878272,1173.7226142008385,2022-06-28
2022-06-28,1166.5047607421875,1166.5155029296875,1151.76806640625,1151.76806640625,0,1168.2339772521914,2022-06-28
2022-06-28,1150.5203857421875,1150.5203857421875,1141.15966796875,1144.4542236328125,154004480,1162.2890388473463,2022-06-28
