Datetime,Open,High,Low,Close,Volume,ema,Date
2022-06-07,31371.7421875,31371.7421875,30210.048828125,30210.048828125,1925500928,31103.769940725047,2022-06-07
2022-06-07,30211.15625,30213.748046875,29530.259765625,29560.453125,1176772608,30717.940736793786,2022-06-07
2022-06-07,29561.267578125,29575.5546875,29311.68359375,29395.208984375,755326976,30387.25779868909,2022-06-07
2022-06-07,29395.427734375,29631.6484375,29381.328125,29605.36328125,0,30191.78416932932,2022-06-07
2022-06-07,29605.27734375,29605.27734375,29494.6640625,29540.78125,28622848,30029.033439496987,2022-06-07
2022-06-07,29541.90625,29589.86328125,29459.046875,29563.3359375,309837824,29912.60906399774,2022-06-07
2022-06-07,29543.640625,29543.640625,29473.56640625,29526.072265625,0,29815.974864404558,2022-06-07
2022-06-07,29528.1640625,29585.40234375,29504.873046875,29585.40234375,183025664,29758.331734240917,2022-06-07
2022-06-07,29586.46484375,29698.71875,29566.83984375,29644.38671875,0,29729.845480368185,2022-06-07
2022-06-07,29645.828125,29646.830078125,29567.072265625,29575.1640625,0,29691.17512590114,2022-06-07
2022-06-07,29575.669921875,29641.921875,29559.7734375,29641.921875,0,29678.861813175856,2022-06-07
2022-06-07,29630.58203125,29630.58203125,29440.935546875,29511.58203125,97378304,29637.041867694392,2022-06-07
2022-06-07,29510.921875,29544.85546875,29445.87890625,29501.08203125,156475392,29603.051908583293,2022-06-07
2022-06-07,29499.96875,29646.14453125,29492.86328125,29616.33984375,0,29606.37389237497,2022-06-07
2022-06-07,29613.30859375,29933.216796875,29536.86328125,29893.986328125,317014016,29678.277001312475,2022-06-07
2022-06-07,29890.359375,29942.224609375,29814.1953125,29884.748046875,0,29729.89476270311,2022-06-07
2022-06-07,29884.173828125,29917.34765625,29806.201171875,29916.67578125,0,29776.590017339837,2022-06-07
2022-06-07,29918.04296875,29951.447265625,29888.66015625,29924.287109375,0,29813.514290348627,2022-06-07
2022-06-07,29924.34765625,30208.625,29924.34765625,30175.751953125,394930176,29904.07370604272,2022-06-07
2022-06-07,30174.728515625,31265.216796875,30174.728515625,31030.24609375,2420363264,30185.61680296954,2022-06-07
2022-06-07,31049.744140625,31489.68359375,31046.6015625,31360.791015625,2429935616,30479.410356133405,2022-06-07
2022-06-07,31355.62109375,31464.701171875,31292.091796875,31424.46484375,624594944,30715.673978037557,2022-06-07
2022-06-07,31419.228515625,31434.7890625,30596.568359375,31202.966796875,2195255296,30837.49718274692,2022-06-07
2022-06-07,31197.302734375,31288.3125,31023.2109375,31164.900390625,2142875648,30919.34798471644,2022-06-07
