c,time
1.00817,0
1.0082,1
1.00816999,2
1.00813,3
1.00815,4
1.00817,5
1.008167,6
1.00810001,7
1.00805,8
1.00809,9
1.008105,10
1.00802498,11
1.00801407,12
1.00804762,13
1.00799,14
1.00799,15
1.00796001,16
1.00795,17
1.00809991,18
1.00808,19
1.00813,20
1.00807926,21
1.00803,22
1.00799162,23
1.00802,24
1.00798,25
1.008155,26
1.00826,27
1.00814,28
1.008097,29
1.00813,30
1.00811,31
1.00822,32
1.00816,33
1.00819001,34
1.008215,35
1.00821,36
1.008215,37
1.00823,38
1.00813001,39
1.00816001,40
1.00816001,41
1.00822,42
1.00818,43
1.00821,44
1.00814,45
1.00818,46
1.00823,47
1.00810112,48
1.008156,49
1.00814999,50
1.0081,51
1.00806499,52
1.008092,53
1.0081,54
1.00818,55
1.00818,56
1.0082625,57
1.0083005,58
1.0083125,59
