t,time,price,maxprice,minprice,use_spread,problem_indicator
2023-03-12 06:00:00,0,20569.755,20569.755,20569.755,False,no problemo
2023-03-12 06:01:00,1,20588.5,20588.5,20588.5,False,no problemo
2023-03-12 06:02:00,2,20552.82349389,20552.82349389,20552.82349389,False,no problemo
2023-03-12 06:03:00,3,20584.755,20584.755,20584.755,False,no problemo
2023-03-12 06:04:00,4,20588.005,20588.005,20588.005,False,no problemo
2023-03-12 06:05:00,5,20553.40951919,20553.40951919,20553.40951919,False,no problemo
2023-03-12 06:06:00,6,20550.085,20550.085,20550.085,False,no problemo
2023-03-12 06:07:00,7,20555.90249999,20555.90249999,20555.90249999,False,no problemo
2023-03-12 06:08:00,8,20585.75,20585.75,20585.75,False,no problemo
2023-03-12 06:09:00,9,20569.63,20569.63,20569.63,False,no problemo
2023-03-12 06:10:00,10,20536.45434,20536.45434,20536.45434,False,no problemo
2023-03-12 06:11:00,11,20539.76749999,20539.76749999,20539.76749999,False,no problemo
2023-03-12 06:12:00,12,20565.91499999,20565.91499999,20565.91499999,False,no problemo
2023-03-12 06:13:00,13,20564.60985075,20564.60985075,20564.60985075,False,no problemo
2023-03-12 06:14:00,14,20584.755,20584.755,20584.755,False,no problemo
2023-03-12 06:15:00,15,20574.755,20574.755,20574.755,False,no problemo
2023-03-12 06:16:00,16,20557.15749999,20557.15749999,20557.15749999,False,no problemo
2023-03-12 06:17:00,17,20558.31999999,20558.31999999,20558.31999999,False,no problemo
2023-03-12 06:18:00,18,20552.4425,20552.4425,20552.4425,False,no problemo
2023-03-12 06:19:00,19,20584.755,20584.755,20584.755,False,no problemo
2023-03-12 06:20:00,20,20585.795,20585.795,20585.795,False,no problemo
2023-03-12 06:21:00,21,20558.4425,20558.4425,20558.4425,False,no problemo
2023-03-12 06:22:00,22,20584.005,20584.005,20584.005,False,no problemo
2023-03-12 06:23:00,23,20554.2325,20554.2325,20554.2325,False,no problemo
2023-03-12 06:24:00,24,20562.54249999,20562.54249999,20562.54249999,False,no problemo
2023-03-12 06:25:00,25,20590.255,20590.255,20590.255,False,no problemo
2023-03-12 06:26:00,26,20578.755,20578.755,20578.755,False,no problemo
2023-03-12 06:27:00,27,20553.68249999,20553.68249999,20553.68249999,False,no problemo
2023-03-12 06:28:00,28,20565.425,20565.425,20565.425,False,no problemo
2023-03-12 06:29:00,29,20569.40999999,20569.40999999,20569.40999999,False,no problemo
2023-03-12 06:30:00,30,20598.01,20598.01,20598.01,False,no problemo
2023-03-12 06:31:00,31,20595.99,20595.99,20595.99,False,no problemo
2023-03-12 06:32:00,32,20541.4225,20541.4225,20541.4225,False,no problemo
2023-03-12 06:33:00,33,20539.49982849,20539.49982849,20539.49982849,False,no problemo
2023-03-12 06:34:00,34,20538.38942132,20538.38942132,20538.38942132,False,no problemo
2023-03-12 06:35:00,35,20567.0,20567.0,20567.0,False,no problemo
2023-03-12 06:36:00,36,20570.49,20570.49,20570.49,False,no problemo
2023-03-12 06:37:00,37,20538.14469241,20538.14469241,20538.14469241,False,no problemo
2023-03-12 06:38:00,38,20570.0,20570.0,20570.0,False,no problemo
2023-03-12 06:39:00,39,20538.18447243,20538.18447243,20538.18447243,False,no problemo
2023-03-12 06:40:00,40,20530.3420499,20530.3420499,20530.3420499,False,no problemo
2023-03-12 06:41:00,41,20558.63,20558.63,20558.63,False,no problemo
2023-03-12 06:42:00,42,20552.64332001,20552.64332001,20552.64332001,False,no problemo
2023-03-12 06:43:00,43,20514.51916,20514.51916,20514.51916,False,no problemo
2023-03-12 06:44:00,44,20509.63749999,20509.63749999,20509.63749999,False,no problemo
2023-03-12 06:45:00,45,20516.78707441,20516.78707441,20516.78707441,False,no problemo
2023-03-12 06:46:00,46,20554.91,20554.91,20554.91,False,no problemo
2023-03-12 06:47:00,47,20549.0,20549.0,20549.0,False,no problemo
2023-03-12 06:48:00,48,20526.55999999,20526.55999999,20526.55999999,False,no problemo
2023-03-12 06:49:00,49,20529.35499999,20529.35499999,20529.35499999,False,no problemo
2023-03-12 06:50:00,50,20521.08249999,20521.08249999,20521.08249999,False,no problemo
2023-03-12 06:51:00,51,20510.5,20510.5,20510.5,False,no problemo
2023-03-12 06:52:00,52,20545.0,20545.0,20545.0,False,no problemo
2023-03-12 06:53:00,53,20547.5,20547.5,20547.5,False,no problemo
2023-03-12 06:54:00,54,20544.74106195,20544.74106195,20544.74106195,False,no problemo
2023-03-12 06:55:00,55,20536.4075,20536.4075,20536.4075,False,no problemo
2023-03-12 06:56:00,56,20534.565,20534.565,20534.565,False,no problemo
2023-03-12 06:57:00,57,20557.005,20557.005,20557.005,False,no problemo
2023-03-12 06:58:00,58,20481.325975,20481.325975,20481.325975,False,no problemo
2023-03-12 06:59:00,59,20521.35249999,20521.35249999,20521.35249999,False,no problemo
