t,time,price,maxprice,minprice,use_spread,problem_indicator
2023-03-12 11:00:00,0,20577.81535255,20577.81535255,20577.81535255,False,no problemo
2023-03-12 11:01:00,1,20576.06583942,20576.06583942,20576.06583942,False,no problemo
2023-03-12 11:02:00,2,20576.45,20576.45,20576.45,False,no problemo
2023-03-12 11:03:00,3,20576.98230738,20576.98230738,20576.98230738,False,no problemo
2023-03-12 11:04:00,4,20576.49502318,20576.49502318,20576.49502318,False,no problemo
2023-03-12 11:05:00,5,20581.16,20581.16,20581.16,False,no problemo
2023-03-12 11:06:00,6,20581.84653962,20581.84653962,20581.84653962,False,no problemo
2023-03-12 11:07:00,7,20578.0,20578.0,20578.0,False,no problemo
2023-03-12 11:08:00,8,20570.47826144,20570.47826144,20570.47826144,False,no problemo
2023-03-12 11:09:00,9,20582.0936674,20582.0936674,20582.0936674,False,no problemo
2023-03-12 11:10:00,10,20579.29880499,20579.29880499,20579.29880499,False,no problemo
2023-03-12 11:11:00,11,20581.74956095,20581.74956095,20581.74956095,False,no problemo
2023-03-12 11:12:00,12,20582.51136454,20582.51136454,20582.51136454,False,no problemo
2023-03-12 11:13:00,13,20581.48,20581.48,20581.48,False,no problemo
2023-03-12 11:14:00,14,20579.49127907,20579.49127907,20579.49127907,False,no problemo
2023-03-12 11:15:00,15,20584.39,20584.39,20584.39,False,no problemo
2023-03-12 11:16:00,16,20580.375,20580.375,20580.375,False,no problemo
2023-03-12 11:17:00,17,20582.81000001,20582.81000001,20582.81000001,False,no problemo
2023-03-12 11:18:00,18,20592.92,20592.92,20592.92,False,no problemo
2023-03-12 11:19:00,19,20587.68500001,20587.68500001,20587.68500001,False,no problemo
2023-03-12 11:20:00,20,20590.96587594,20590.96587594,20590.96587594,False,no problemo
2023-03-12 11:21:00,21,20591.215,20591.215,20591.215,False,no problemo
2023-03-12 11:22:00,22,20604.0,20604.0,20604.0,False,no problemo
2023-03-12 11:23:00,23,20616.0,20616.0,20616.0,False,no problemo
2023-03-12 11:24:00,24,20602.83470599,20602.83470599,20602.83470599,False,no problemo
2023-03-12 11:25:00,25,20615.035,20615.035,20615.035,False,no problemo
2023-03-12 11:26:00,26,20616.06419566,20616.06419566,20616.06419566,False,no problemo
2023-03-12 11:27:00,27,20620.24753507,20620.24753507,20620.24753507,False,no problemo
2023-03-12 11:28:00,28,20619.13,20619.13,20619.13,False,no problemo
2023-03-12 11:29:00,29,20608.0,20608.0,20608.0,False,no problemo
2023-03-12 11:30:00,30,20602.1080276,20602.1080276,20602.1080276,False,no problemo
2023-03-12 11:31:00,31,20613.78303195,20613.78303195,20613.78303195,False,no problemo
2023-03-12 11:32:00,32,20596.87584568,20596.87584568,20596.87584568,False,no problemo
2023-03-12 11:33:00,33,20589.40459457,20589.40459457,20589.40459457,False,no problemo
2023-03-12 11:34:00,34,20588.67,20588.67,20588.67,False,no problemo
2023-03-12 11:35:00,35,20588.04784,20588.04784,20588.04784,False,no problemo
2023-03-12 11:36:00,36,20592.5,20592.5,20592.5,False,no problemo
2023-03-12 11:37:00,37,20599.0,20599.0,20599.0,False,no problemo
2023-03-12 11:38:00,38,20599.0,20599.0,20599.0,False,no problemo
2023-03-12 11:39:00,39,20598.82757655,20598.82757655,20598.82757655,False,no problemo
2023-03-12 11:40:00,40,20600.65554411,20600.65554411,20600.65554411,False,no problemo
2023-03-12 11:41:00,41,20614.26960903,20614.26960903,20614.26960903,False,no problemo
2023-03-12 11:42:00,42,20623.27254424,20623.27254424,20623.27254424,False,no problemo
2023-03-12 11:43:00,43,20609.56775504,20609.56775504,20609.56775504,False,no problemo
2023-03-12 11:44:00,44,20621.1,20621.1,20621.1,False,no problemo
