c,time
1.00772499,0
1.00785,1
1.0079123,2
1.0079148,3
1.00791091,4
1.0081627,5
1.00815038,6
1.00825038,7
1.0084275,8
1.008415,9
1.008435,10
1.00836793,11
1.00859944,12
1.008935,13
1.0089475,14
1.00908,15
1.00866288,16
1.0086475,17
1.00865425,18
1.00864756,19
1.00853914,20
1.00881868,21
1.00901,22
1.00890828,23
1.00890665,24
1.00885158,25
1.00877,26
1.008803,27
1.00885058,28
1.00874932,29
1.00875,30
1.0086725,31
1.00868704,32
1.0087445,33
1.00873215,34
1.00870787,35
1.008725,36
1.00887763,37
1.0088425,38
1.0088435,39
1.00886225,40
1.0088345,41
1.0087975,42
1.0088045,43
1.008745,44
1.008725,45
1.00871838,46
1.00875037,47
1.00878346,48
1.00859002,49
1.00862124,50
1.00855092,51
1.0083575,52
1.008335,53
1.00836037,54
1.00826499,55
1.00841239,56
1.00845037,57
1.00855287,58
1.0089425,59
