c,time
1.00001023,0
1.0,1
1.00001661,2
1.00001391,3
1.00001391,4
1.00001392,5
1.00001999,6
1.00001374,7
1.00001404,8
0.99999771,9
1.0,10
0.99999051,11
1.0,12
0.99999,13
1.0,14
0.999995,15
0.999995,16
0.99999,17
1.0,18
1.00000444,19
1.00000201,20
1.00000222,21
1.000005,22
1.00000444,23
1.0,24
1.00001353,25
1.00001305,26
1.0,27
1.0,28
1.0,29
1.0,30
1.0000025,31
1.0,32
0.99999244,33
1.00000189,34
1.0,35
1.0,36
1.00000444,37
1.000005,38
1.0,39
1.0,40
1.0,41
1.0,42
1.0,43
0.99999092,44
1.00000299,45
1.0,46
1.0,47
1.0,48
1.000005,49
1.0,50
1.0,51
1.00000222,52
1.0,53
0.99998508,54
0.99999,55
1.00000703,56
1.00000222,57
1.00000222,58
1.0,59
0.91188114,0
0.91231506,1
0.91183005,2
0.91180406,3
0.91187071,4
0.91343162,5
0.91270005,6
0.91247003,7
0.91233489,8
0.9133002,9
0.91330014,10
0.91355004,11
0.9135,12
0.91623622,13
0.9174418,14
0.9179531,15
0.91805004,16
0.91890012,17
0.92020143,18
0.91936051,19
0.91898275,20
0.91755652,21
0.91819,22
0.91928203,23
0.91998396,24
0.92046098,25
0.92224,26
0.92300014,27
0.9233,28
0.92380009,29
0.92354431,30
0.92280011,31
0.922675,32
0.92279101,33
0.92,34
0.9199649,35
0.919468,36
0.9184419,37
0.91871622,38
0.91821632,39
0.91821632,40
0.91851626,41
0.92001596,42
0.91971602,43
0.91921612,44
0.91113888,45
0.9109782,46
0.90984861,47
0.91112672,48
0.91591678,49
0.91623279,50
0.90861878,51
0.9067516,52
0.91546556,53
0.906661,54
0.905736,55
0.904994,56
0.905119,57
0.905052,58
0.91346979,59
