c,time
0.99998,0
0.99998,1
1.0,2
0.99997,3
0.99998,4
0.9999745,5
0.9999715,6
0.99996,7
0.9999535,8
0.99995074,9
0.99995074,10
0.99995074,11
0.99991,12
0.99993,13
0.99991,14
0.99992,15
0.9999045,16
0.9999,17
0.999904,18
0.99992,19
0.99991,20
0.9999235,21
0.99999,22
0.99995074,23
0.99995312,24
0.99998175,25
0.9999685,26
1.0,27
0.99994,28
1.0,29
1.0,30
1.0,31
1.0,32
1.0,33
1.0,34
0.999995,35
1.0,36
0.99999,37
1.0,38
0.999985,39
0.999975,40
0.99999,41
0.99995537,42
0.99999,43
0.99999,44
0.999975,45
1.0,46
1.0,47
0.99999986,48
1.0,49
0.99999,50
0.99995999,51
0.99994,52
0.99994,53
0.99994,54
1.0,55
1.0,56
1.0,57
0.99997,58
1.0,59
