t,time,price,maxprice,minprice,use_spread,problem_indicator
2023-01-13 03:00:00,0,16.47258236,16.47258236,16.47258236,False,no problemo
2023-01-13 03:01:00,0,16.48423982,16.48423982,16.48423982,False,no problemo
2023-01-13 03:02:00,2,16.48435032,16.48435032,16.48435032,False,no problemo
2023-01-13 03:03:00,3,16.47374,16.47374,16.47374,False,no problemo
2023-01-13 03:04:00,3,16.48388741,16.48388741,16.48388741,False,no problemo
2023-01-13 03:05:00,5,16.47434,16.47434,16.47434,False,no problemo
2023-01-13 03:06:00,6,16.47464418,16.47464418,16.47464418,False,no problemo
2023-01-13 03:07:00,7,16.46447872,16.46447872,16.46447872,False,no problemo
2023-01-13 03:08:00,8,16.4756675,16.4756675,16.4756675,False,no problemo
2023-01-13 03:09:00,9,16.4753741,16.4753741,16.4753741,False,no problemo
2023-01-13 03:10:00,10,16.48625128,16.48625128,16.48625128,False,no problemo
2023-01-13 03:11:00,10,16.493737,16.493737,16.493737,False,no problemo
2023-01-13 03:12:00,11,16.47614619,16.47614619,16.47614619,False,no problemo
2023-01-13 03:13:00,13,16.48545,16.48545,16.48545,False,no problemo
2023-01-13 03:14:00,13,16.49336078,16.49336078,16.49336078,False,no problemo
2023-01-13 03:15:00,15,16.5143692,16.5143692,16.5143692,False,no problemo
2023-01-13 03:16:00,15,16.5124565,16.5124565,16.5124565,False,no problemo
2023-01-13 03:17:00,17,16.51205842,16.51205842,16.51205842,False,no problemo
2023-01-13 03:18:00,17,16.50797,16.50797,16.50797,False,no problemo
2023-01-13 03:19:00,18,16.5136668,16.5136668,16.5136668,False,no problemo
2023-01-13 03:20:00,20,16.514849,16.514849,16.514849,False,no problemo
2023-01-13 03:21:00,20,16.5227827,16.5227827,16.5227827,False,no problemo
2023-01-13 03:22:00,22,16.52421265,16.52421265,16.52421265,False,no problemo
2023-01-13 03:23:00,23,16.52894642,16.52894642,16.52894642,False,no problemo
2023-01-13 03:24:00,23,16.51495,16.51495,16.51495,False,no problemo
2023-01-13 03:25:00,24,16.505,16.505,16.505,False,no problemo
2023-01-13 03:26:00,26,16.50640666,16.50640666,16.50640666,False,no problemo
2023-01-13 03:27:00,27,16.505,16.505,16.505,False,no problemo
2023-01-13 03:28:00,27,16.51477,16.51477,16.51477,False,no problemo
2023-01-13 03:29:00,28,16.513329,16.513329,16.513329,False,no problemo
2023-01-13 03:30:00,29,16.50530532,16.50530532,16.50530532,False,no problemo
2023-01-13 03:31:00,30,16.52414283,16.52414283,16.52414283,False,no problemo
2023-01-13 03:32:00,32,16.53503,16.53503,16.53503,False,no problemo
2023-01-13 03:33:00,33,16.53729353,16.53729353,16.53729353,False,no problemo
2023-01-13 03:34:00,33,16.55245,16.55245,16.55245,False,no problemo
2023-01-13 03:35:00,35,16.53386375,16.53386375,16.53386375,False,no problemo
2023-01-13 03:36:00,36,16.52535857,16.52535857,16.52535857,False,no problemo
2023-01-13 03:37:00,36,16.54466398,16.54466398,16.54466398,False,no problemo
2023-01-13 03:38:00,37,16.51733425,16.51733425,16.51733425,False,no problemo
2023-01-13 03:39:00,39,16.52261544,16.52261544,16.52261544,False,no problemo
2023-01-13 03:40:00,40,16.51002099,16.51002099,16.51002099,False,no problemo
2023-01-13 03:41:00,40,16.51594496,16.51594496,16.51594496,False,no problemo
2023-01-13 03:42:00,41,16.54489999,16.54489999,16.54489999,False,no problemo
2023-01-13 03:43:00,43,16.53440476,16.53440476,16.53440476,False,no problemo
2023-01-13 03:44:00,44,16.554965,16.554965,16.554965,False,no problemo
2023-01-13 03:45:00,45,16.554295,16.554295,16.554295,False,no problemo
2023-01-13 03:46:00,45,16.54574819,16.54574819,16.54574819,False,no problemo
2023-01-13 03:47:00,47,16.55597101,16.55597101,16.55597101,False,no problemo
2023-01-13 03:48:00,47,16.534624,16.534624,16.534624,False,no problemo
2023-01-13 03:49:00,48,16.53500099,16.53500099,16.53500099,False,no problemo
2023-01-13 03:50:00,49,16.5546825,16.5546825,16.5546825,False,no problemo
2023-01-13 03:51:00,50,16.55471916,16.55471916,16.55471916,False,no problemo
2023-01-13 03:52:00,52,16.57775733,16.57775733,16.57775733,False,no problemo
2023-01-13 03:53:00,52,16.58498699,16.58498699,16.58498699,False,no problemo
2023-01-13 03:54:00,53,16.5949885,16.5949885,16.5949885,False,no problemo
2023-01-13 03:55:00,55,16.63,16.63,16.63,False,no problemo
2023-01-13 03:56:00,56,16.62522787,16.62522787,16.62522787,False,no problemo
2023-01-13 03:57:00,57,16.665175,16.665175,16.665175,False,no problemo
2023-01-13 03:58:00,57,16.69856417,16.69856417,16.69856417,False,no problemo
2023-01-13 03:59:00,58,16.73235674,16.73235674,16.73235674,False,no problemo
2023-01-13 04:00:00,59,16.71150781,16.71150781,16.71150781,False,no problemo
