s,t,c,o,h,l,v
,2022-11-08 01:10:00,1.00008549,1.00008749,1.00009682,1.00008025,0
,2022-11-08 01:11:00,1.00008749,1.00008749,1.00009313,1.00008249,0
,2022-11-08 01:12:00,1.00009499,1.00008749,1.000123,1.00008249,0
,2022-11-08 01:13:00,1.00009499,1.00009499,1.000125,1.00009049,0
,2022-11-08 01:14:00,1.00009749,1.00009249,1.00011649,1.00009249,0
,2022-11-08 01:15:00,1.00009999,1.00009999,1.00010499,1.00009249,0
,2022-11-08 01:16:00,1.0000925,1.00009999,1.00015,1.0000925,0
,2022-11-08 01:17:00,1.00009856,1.00009999,1.0001,1.00008365,0
,2022-11-08 01:18:00,1.00009499,1.00009856,1.0001,1.00009249,0
,2022-11-08 01:19:00,1.00009499,1.00009499,1.0001,1.00009249,0
,2022-11-08 01:20:00,1.00009313,1.00009499,1.0001,1.00009249,0
,2022-11-08 01:21:00,1.00009813,1.00009313,1.00009999,1.00008232,0
,2022-11-08 01:22:00,1.000081,1.00009813,1.00009999,1.0000575,0
,2022-11-08 01:23:00,1.00008499,1.00008499,1.00009999,1.00008,0
,2022-11-08 01:24:00,1.00008499,1.00008499,1.00008999,1.00005441,0
,2022-11-08 01:25:00,1.00008499,1.00008499,1.00009651,1.00006837,0
,2022-11-08 01:26:00,1.00009567,1.00008499,1.00009999,1.00008499,0
,2022-11-08 01:27:00,1.00008255,1.00009567,1.00009999,1.000069,0
,2022-11-08 01:28:00,1.00009499,1.00008255,1.00009999,1.00008,0
,2022-11-08 01:29:00,1.00007953,1.00009999,1.0001,1.0000705,0
,2022-11-08 01:30:00,1.00008499,1.00008499,1.00009428,1.00007976,0
,2022-11-08 01:31:00,1.000098,1.00008499,1.00009999,1.0000825,0
,2022-11-08 01:32:00,1.00009999,1.000098,1.0001,1.00008418,0
,2022-11-08 01:33:00,1.0001,1.00009999,1.0001,1.00009999,0
,2022-11-08 01:34:00,1.00009999,1.00009999,1.0001,1.00009428,0
,2022-11-08 01:35:00,1.00009999,1.00009999,1.00010857,1.00009428,0
,2022-11-08 01:36:00,1.0001,1.00009999,1.0001,1.0000995,0
,2022-11-08 01:37:00,1.00009999,1.0001,1.00010175,1.00009142,0
,2022-11-08 01:38:00,1.00009999,1.00009999,1.00011174,1.0000905,0
,2022-11-08 01:39:00,1.00009999,1.00009999,1.0001,1.00009142,0
,2022-11-08 01:40:00,1.0001,1.00009999,1.00011046,1.00009929,0
,2022-11-08 01:41:00,1.0001,1.0001,1.00010976,1.00009999,0
,2022-11-08 01:42:00,1.000095,1.0001,1.00010857,1.00008857,0
,2022-11-08 01:43:00,1.00009714,1.000095,1.00009999,1.00008285,0
,2022-11-08 01:44:00,1.000095,1.000095,1.00009999,1.000095,0
,2022-11-08 01:45:00,1.00009999,1.000095,1.0001005,1.000095,0
,2022-11-08 01:46:00,1.00010418,1.00009999,1.00010418,1.00009837,0
,2022-11-08 01:47:00,1.0001,1.00010418,1.00010976,1.0000979,0
,2022-11-08 01:48:00,1.0001,1.0001,1.0001,1.0001,0
,2022-11-08 01:49:00,1.0001,1.0001,1.0001,1.00009999,0
,2022-11-08 01:50:00,1.00009999,1.0001,1.0001,1.00008999,0
,2022-11-08 01:51:00,1.00009749,1.00009999,1.0001,1.00008999,0
,2022-11-08 01:52:00,1.00009999,1.00009749,1.00009999,1.000095,0
,2022-11-08 01:53:00,1.00009999,1.00009999,1.0001,1.00009999,0
,2022-11-08 01:54:00,1.00009999,1.00009999,1.0001,1.00009837,0
,2022-11-08 01:55:00,1.00009999,1.00009999,1.0001,1.00008499,0
,2022-11-08 01:56:00,1.00008499,1.00009999,1.00009999,1.00008499,0
,2022-11-08 01:57:00,1.0000981,1.00008499,1.00009999,1.00008499,0
,2022-11-08 01:58:00,1.00009714,1.0000981,1.0001,1.00008499,0
,2022-11-08 01:59:00,1.0000986,1.00009714,1.0001,1.00008499,0
,2022-11-08 02:00:00,1.0001,1.0000986,1.0001,1.00009249,0
,2022-11-08 02:01:00,1.00009999,1.0001,1.0001,1.00009714,0
,2022-11-08 02:02:00,1.00009627,1.00009999,1.0001,1.00008499,0
,2022-11-08 02:03:00,1.0000986,1.00009627,1.00009999,1.00009627,0
,2022-11-08 02:04:00,1.00009428,1.0000986,1.00009999,1.00008,0
,2022-11-08 02:05:00,1.00008499,1.00009428,1.0001,1.00008,0
,2022-11-08 02:06:00,1.00009999,1.00008499,1.00009999,1.00008499,0
,2022-11-08 02:07:00,1.00010697,1.00009999,1.00010976,1.00008436,0
,2022-11-08 02:08:00,1.00008749,1.00010697,1.00011999,1.00008,0
,2022-11-08 02:09:00,1.00008499,1.00008749,1.00009999,1.0000775,0
,2022-11-08 02:10:00,1.0000986,1.00008499,1.00009999,1.00008217,0
,2022-11-08 02:11:00,1.00009428,1.0000986,1.00009999,1.00008499,0
