c,time
1.000408,0
1.00045,1
1.00049998,2
1.00034071,3
1.00025075,4
1.00029046,5
1.00026748,6
1.00029325,7
1.00030769,8
1.00030588,9
1.00027423,10
1.00025791,11
1.00028625,12
1.00029391,13
1.00027487,14
1.00029606,15
1.00026561,16
1.00026373,17
1.00027542,18
1.00026702,19
1.000265,20
1.0003151,21
1.00031309,22
1.0002701,23
1.00029309,24
1.00026165,25
1.00026316,26
1.00027905,27
1.00031648,28
1.0002777,29
1.00030751,30
1.00025787,31
1.00026611,32
1.00031496,33
1.00029135,34
1.00025519,35
1.00027129,36
1.00025769,37
1.00025038,38
1.00025787,39
1.00025038,40
1.00025001,41
1.00025038,42
1.00025038,43
1.0002075,44
1.00020124,45
1.00020933,46
1.00020351,47
1.00020133,48
1.0001925,49
1.0001846,50
1.00019306,51
1.00018706,52
1.00020492,53
1.00021392,54
1.00025038,55
1.00026287,56
1.00026037,57
1.00026037,58
1.00025038,59
