c,time
1.00000301,0
0.99999998,1
0.99999998,2
1.00000109,3
0.99999998,4
1.00000416,5
1.00000233,6
1.00000213,7
0.99999998,8
0.99999998,9
0.99999998,10
1.0000059,11
1.00000981,12
1.00000398,13
1.00000526,14
1.00000009,15
0.9999959,16
0.99999056,17
0.99999772,18
0.99999743,19
0.99999863,20
1.00001498,21
0.99999765,22
1.00000456,23
0.99998885,24
1.00000109,25
0.99999948,26
1.00002097,27
1.0000697,28
1.00002784,29
1.00010002,30
1.00010002,31
1.0,32
1.00004222,33
1.00002625,34
1.0,35
1.000033,36
1.00000659,37
1.0,38
1.00003175,39
1.000035,40
1.0000209,41
1.0,42
1.00005,43
1.000033,44
1.000033,45
1.0,46
1.00002564,47
1.000015,48
1.000005,49
0.99999716,50
1.0,51
1.00000498,52
0.99999998,53
0.99999337,54
1.0,55
0.99999758,56
0.99999998,57
0.99999046,58
1.000043,59
