time,price,maxprice,minprice,use_spread,problem_indicator
0,21769.84783055,21769.84783055,21769.84783055,False,no problemo
1,21769.15507349,21769.15507349,21769.15507349,False,no problemo
2,21769.4,21769.4,21769.4,False,no problemo
3,21766.29999999,21766.29999999,21766.29999999,False,no problemo
4,21759.21591999,21759.21591999,21759.21591999,False,no problemo
5,21759.16091999,21759.16091999,21759.16091999,False,no problemo
6,21760.27704679,21760.27704679,21760.27704679,False,no problemo
7,21760.9,21760.9,21760.9,False,no problemo
8,21771.915,21771.915,21771.915,False,no problemo
9,21773.08620171,21773.08620171,21773.08620171,False,no problemo
10,21773.5,21773.5,21773.5,False,no problemo
11,21774.82,21774.82,21774.82,False,no problemo
12,21763.0,21763.0,21763.0,False,no problemo
13,21757.03,21757.03,21757.03,False,no problemo
14,21755.2775,21755.2775,21755.2775,False,no problemo
15,21746.39207407,21746.39207407,21746.39207407,False,no problemo
16,21748.040466,21748.040466,21748.040466,False,no problemo
17,21749.95,21749.95,21749.95,False,no problemo
18,21751.4,21751.4,21751.4,False,no problemo
19,21747.42020699,21747.42020699,21747.42020699,False,no problemo
20,21749.95,21749.95,21749.95,False,no problemo
21,21753.5,21753.5,21753.5,False,no problemo
22,21755.06,21755.06,21755.06,False,no problemo
22,21753.33,21753.33,21753.33,False,no problemo
24,21761.92749999,21761.92749999,21761.92749999,False,no problemo
25,21759.19,21759.19,21759.19,False,no problemo
26,21761.99999999,21761.99999999,21761.99999999,False,no problemo
27,21758.45,21758.45,21758.45,False,no problemo
28,21759.55,21759.55,21759.55,False,no problemo
29,21759.46,21759.46,21759.46,False,no problemo
30,21757.12526507,21757.12526507,21757.12526507,False,no problemo
31,21757.1,21757.1,21757.1,False,no problemo
32,21759.0,21759.0,21759.0,False,no problemo
33,21761.0,21761.0,21761.0,False,no problemo
34,21763.44,21763.44,21763.44,False,no problemo
35,21771.29,21771.29,21771.29,False,no problemo
36,21772.01133835,21772.01133835,21772.01133835,False,no problemo
37,21784.56,21784.56,21784.56,False,no problemo
38,21794.90218028,21794.90218028,21794.90218028,False,no problemo
39,21793.75,21793.75,21793.75,False,no problemo
40,21790.3625,21790.3625,21790.3625,False,no problemo
41,21790.005,21790.005,21790.005,False,no problemo
42,21780.75,21780.75,21780.75,False,no problemo
43,21800.14,21800.14,21800.14,False,no problemo
44,21788.62,21788.62,21788.62,False,no problemo
45,21785.0,21785.0,21785.0,False,no problemo
46,21775.0025,21775.0025,21775.0025,False,no problemo
47,21768.81038499,21768.81038499,21768.81038499,False,no problemo
47,21769.595,21769.595,21769.595,False,no problemo
49,21770.0,21770.0,21770.0,False,no problemo
50,21767.25,21767.25,21767.25,False,no problemo
51,21768.16,21768.16,21768.16,False,no problemo
52,21765.92005099,21765.92005099,21765.92005099,False,no problemo
53,21768.7,21768.7,21768.7,False,no problemo
54,21767.5,21767.5,21767.5,False,no problemo
55,21762.65,21762.65,21762.65,False,no problemo
56,21757.815,21757.815,21757.815,False,no problemo
57,21763.635,21763.635,21763.635,False,no problemo
58,21766.54,21766.54,21766.54,False,no problemo
59,21767.19,21767.19,21767.19,False,no problemo
59,21768.3375,21768.3375,21768.3375,False,no problemo
