time,price,maxprice,minprice,use_spread,problem_indicator
0,26907.79791012,26907.79791012,26907.79791012,False,no problemo
1,26922.7125,26922.7125,26922.7125,False,no problemo
2,26921.69375672,26921.69375672,26921.69375672,False,no problemo
3,26922.63,26922.63,26922.63,False,no problemo
4,26925.6402553,26925.6402553,26925.6402553,False,no problemo
5,26924.5725,26924.5725,26924.5725,False,no problemo
6,26925.91,26925.91,26925.91,False,no problemo
7,26932.75,26932.75,26932.75,False,no problemo
8,26950.0,26950.0,26950.0,False,no problemo
9,26938.5,26938.5,26938.5,False,no problemo
10,26934.75720082,26934.75720082,26934.75720082,False,no problemo
11,26945.14447195,26945.14447195,26945.14447195,False,no problemo
12,26948.74938403,26948.74938403,26948.74938403,False,no problemo
13,26943.16525834,26943.16525834,26943.16525834,False,no problemo
14,26942.0,26942.0,26942.0,False,no problemo
15,26947.46281197,26947.46281197,26947.46281197,False,no problemo
16,26942.75,26942.75,26942.75,False,no problemo
17,26941.3775,26941.3775,26941.3775,False,no problemo
18,26948.02449117,26948.02449117,26948.02449117,False,no problemo
19,26950.0,26950.0,26950.0,False,no problemo
20,26950.75,26950.75,26950.75,False,no problemo
21,26941.41,26941.41,26941.41,False,no problemo
22,26933.505,26933.505,26933.505,False,no problemo
23,26936.76116,26936.76116,26936.76116,False,no problemo
24,26944.21277616,26944.21277616,26944.21277616,False,no problemo
25,26942.655,26942.655,26942.655,False,no problemo
26,26942.52,26942.52,26942.52,False,no problemo
27,26942.66,26942.66,26942.66,False,no problemo
28,26936.46,26936.46,26936.46,False,no problemo
29,26937.79,26937.79,26937.79,False,no problemo
30,26937.19256148,26937.19256148,26937.19256148,False,no problemo
31,26937.68,26937.68,26937.68,False,no problemo
32,26945.58118139,26945.58118139,26945.58118139,False,no problemo
33,26938.0,26938.0,26938.0,False,no problemo
34,26931.715,26931.715,26931.715,False,no problemo
35,26928.5,26928.5,26928.5,False,no problemo
36,26936.885,26936.885,26936.885,False,no problemo
37,26937.48,26937.48,26937.48,False,no problemo
38,26938.96400107,26938.96400107,26938.96400107,False,no problemo
39,26936.245,26936.245,26936.245,False,no problemo
40,26937.17,26937.17,26937.17,False,no problemo
41,26939.5,26939.5,26939.5,False,no problemo
42,26926.40131999,26926.40131999,26926.40131999,False,no problemo
43,26925.09120626,26925.09120626,26925.09120626,False,no problemo
44,26910.7339532,26910.7339532,26910.7339532,False,no problemo
45,26907.34830972,26907.34830972,26907.34830972,False,no problemo
46,26907.26254553,26907.26254553,26907.26254553,False,no problemo
47,26912.75,26912.75,26912.75,False,no problemo
48,26912.0,26912.0,26912.0,False,no problemo
49,26908.97456695,26908.97456695,26908.97456695,False,no problemo
50,26911.9,26911.9,26911.9,False,no problemo
51,26913.1225,26913.1225,26913.1225,False,no problemo
52,26912.97,26912.97,26912.97,False,no problemo
53,26912.0425,26912.0425,26912.0425,False,no problemo
54,26902.25,26902.25,26902.25,False,no problemo
55,26895.36022786,26895.36022786,26895.36022786,False,no problemo
56,26889.95,26889.95,26889.95,False,no problemo
57,26890.0,26890.0,26890.0,False,no problemo
58,26892.92607561,26892.92607561,26892.92607561,False,no problemo
59,26888.0,26888.0,26888.0,False,no problemo
