t,time,price,maxprice,minprice,use_spread,problem_indicator
2023-06-20 07:00:00,0,1728.48735086,1728.48735086,1728.48735086,False,no problemo
2023-06-20 07:01:00,1,1728.51064325,1728.51064325,1728.51064325,False,no problemo
2023-06-20 07:02:00,2,1727.42311335,1727.42311335,1727.42311335,False,no problemo
2023-06-20 07:03:00,3,1727.51293136,1727.51293136,1727.51293136,False,no problemo
2023-06-20 07:04:00,4,1728.5,1728.5,1728.5,False,no problemo
2023-06-20 07:05:00,5,1728.84988152,1728.84988152,1728.84988152,False,no problemo
2023-06-20 07:06:00,6,1729.2,1729.2,1729.2,False,no problemo
2023-06-20 07:07:00,7,1729.3625,1729.3625,1729.3625,False,no problemo
2023-06-20 07:08:00,8,1729.39999999,1729.39999999,1729.39999999,False,no problemo
2023-06-20 07:09:00,9,1729.224344,1729.224344,1729.224344,False,no problemo
2023-06-20 07:10:00,10,1729.1,1729.1,1729.1,False,no problemo
2023-06-20 07:11:00,11,1729.23120063,1729.23120063,1729.23120063,False,no problemo
2023-06-20 07:12:00,12,1729.22790453,1729.22790453,1729.22790453,False,no problemo
2023-06-20 07:13:00,13,1729.2,1729.2,1729.2,False,no problemo
2023-06-20 07:14:00,14,1729.4,1729.4,1729.4,False,no problemo
2023-06-20 07:15:00,15,1729.35931601,1729.35931601,1729.35931601,False,no problemo
2023-06-20 07:16:00,16,1729.45999999,1729.45999999,1729.45999999,False,no problemo
2023-06-20 07:17:00,17,1729.48249999,1729.48249999,1729.48249999,False,no problemo
2023-06-20 07:18:00,18,1729.535,1729.535,1729.535,False,no problemo
2023-06-20 07:19:00,19,1729.48572255,1729.48572255,1729.48572255,False,no problemo
2023-06-20 07:20:00,20,1729.54,1729.54,1729.54,False,no problemo
2023-06-20 07:21:00,21,1729.49286127,1729.49286127,1729.49286127,False,no problemo
2023-06-20 07:22:00,22,1729.40120393,1729.40120393,1729.40120393,False,no problemo
2023-06-20 07:23:00,23,1729.40055203,1729.40055203,1729.40055203,False,no problemo
2023-06-20 07:24:00,24,1729.425,1729.425,1729.425,False,no problemo
2023-06-20 07:25:00,25,1729.3775,1729.3775,1729.3775,False,no problemo
2023-06-20 07:26:00,26,1729.4,1729.4,1729.4,False,no problemo
2023-06-20 07:27:00,27,1729.4,1729.4,1729.4,False,no problemo
2023-06-20 07:28:00,28,1729.45,1729.45,1729.45,False,no problemo
2023-06-20 07:29:00,28,1729.465,1729.465,1729.465,False,no problemo
2023-06-20 07:30:00,30,1729.39517889,1729.39517889,1729.39517889,False,no problemo
2023-06-20 07:31:00,31,1729.8,1729.8,1729.8,False,no problemo
2023-06-20 07:32:00,32,1729.88146467,1729.88146467,1729.88146467,False,no problemo
2023-06-20 07:33:00,33,1729.73580552,1729.73580552,1729.73580552,False,no problemo
2023-06-20 07:34:00,34,1729.75647628,1729.75647628,1729.75647628,False,no problemo
2023-06-20 07:35:00,35,1729.76295257,1729.76295257,1729.76295257,False,no problemo
2023-06-20 07:36:00,36,1729.68,1729.68,1729.68,False,no problemo
2023-06-20 07:37:00,37,1729.65547525,1729.65547525,1729.65547525,False,no problemo
2023-06-20 07:38:00,38,1729.79324303,1729.79324303,1729.79324303,False,no problemo
2023-06-20 07:39:00,39,1729.77259049,1729.77259049,1729.77259049,False,no problemo
2023-06-20 07:40:00,40,1729.4025,1729.4025,1729.4025,False,no problemo
2023-06-20 07:41:00,41,1729.40205958,1729.40205958,1729.40205958,False,no problemo
2023-06-20 07:42:00,42,1729.5,1729.5,1729.5,False,no problemo
2023-06-20 07:43:00,43,1729.56097824,1729.56097824,1729.56097824,False,no problemo
2023-06-20 07:44:00,44,1729.55704159,1729.55704159,1729.55704159,False,no problemo
2023-06-20 07:45:00,45,1729.5,1729.5,1729.5,False,no problemo
2023-06-20 07:46:00,46,1729.785,1729.785,1729.785,False,no problemo
2023-06-20 07:47:00,47,1729.82647547,1729.82647547,1729.82647547,False,no problemo
2023-06-20 07:48:00,48,1729.81,1729.81,1729.81,False,no problemo
2023-06-20 07:49:00,49,1729.85470008,1729.85470008,1729.85470008,False,no problemo
2023-06-20 07:50:00,50,1729.90826233,1729.90826233,1729.90826233,False,no problemo
2023-06-20 07:51:00,51,1729.69269852,1729.69269852,1729.69269852,False,no problemo
2023-06-20 07:52:00,52,1729.72241124,1729.72241124,1729.72241124,False,no problemo
2023-06-20 07:53:00,53,1729.56747868,1729.56747868,1729.56747868,False,no problemo
2023-06-20 07:54:00,54,1729.60630196,1729.60630196,1729.60630196,False,no problemo
2023-06-20 07:55:00,55,1729.66649139,1729.66649139,1729.66649139,False,no problemo
2023-06-20 07:56:00,56,1729.55317044,1729.55317044,1729.55317044,False,no problemo
2023-06-20 07:57:00,57,1729.62445972,1729.62445972,1729.62445972,False,no problemo
2023-06-20 07:58:00,57,1729.61878119,1729.61878119,1729.61878119,False,no problemo
2023-06-20 07:59:00,59,1729.64453558,1729.64453558,1729.64453558,False,no problemo
