Datetime,Open,High,Low,Close,Volume,ema,Date
2022-11-09,1333.1224365234375,1335.7435302734375,1318.325927734375,1318.325927734375,343138304,1347.445585202461,2022-11-09
2022-11-09,1318.80322265625,1328.323974609375,1317.3629150390625,1319.8238525390625,601489408,1340.5401520366113,2022-11-09
2022-11-09,1319.5748291015625,1327.37548828125,1300.55078125,1300.55078125,328740864,1330.5428093399585,2022-11-09
2022-11-09,1299.5347900390625,1311.5284423828125,1288.9185791015625,1309.8922119140625,0,1325.3801599834844,2022-11-09
2022-11-09,1310.4957275390625,1313.6451416015625,1303.4671630859375,1303.4671630859375,0,1319.9019107590975,2022-11-09
2022-11-09,1304.187255859375,1312.6629638671875,1292.7813720703125,1304.1162109375,0,1315.9554858036984,2022-11-09
2022-11-09,1303.849609375,1305.921142578125,1298.582763671875,1298.582763671875,0,1311.6123052707426,2022-11-09
2022-11-09,1298.3419189453125,1298.9527587890625,1275.377197265625,1275.377197265625,129040384,1302.5535282694632,2022-11-09
2022-11-09,1275.575927734375,1275.575927734375,1256.412109375,1262.8155517578125,742875136,1292.6190341415504,2022-11-09
2022-11-09,1263.0040283203125,1263.6138916015625,1205.7755126953125,1205.7908935546875,1269309440,1270.911998994835,2022-11-09
2022-11-09,1207.60009765625,1218.49560546875,1157.2281494140625,1197.070068359375,3414478848,1252.4515163359697,2022-11-09
2022-11-09,1196.2166748046875,1214.1224365234375,1185.542236328125,1214.1224365234375,1392275456,1242.8692463828363,2022-11-09
2022-11-09,1216.2481689453125,1238.41748046875,1216.2481689453125,1222.0064697265625,1346928640,1237.653552218768,2022-11-09
2022-11-09,1221.7744140625,1229.8814697265625,1207.53662109375,1214.922607421875,1156960256,1231.9708160195448,2022-11-09
2022-11-09,1214.1507568359375,1234.510009765625,1196.4716796875,1224.968017578125,0,1230.2201164091898,2022-11-09
2022-11-09,1225.864013671875,1233.7652587890625,1162.55615234375,1162.55615234375,537477120,1213.30412539283,2022-11-09
2022-11-09,1164.5328369140625,1189.803466796875,1162.114501953125,1177.037109375,0,1204.2373713883726,2022-11-09
2022-11-09,1176.599853515625,1181.4462890625,1162.833251953125,1176.301025390625,0,1197.2532848889357,2022-11-09
2022-11-09,1174.809814453125,1174.809814453125,1151.7459716796875,1165.92919921875,0,1189.4222634713892,2022-11-09
2022-11-09,1165.805908203125,1198.3541259765625,1164.646240234375,1191.978515625,0,1190.0613265097918,2022-11-09
2022-11-09,1191.9090576171875,1196.3450927734375,1156.7711181640625,1164.802490234375,0,1183.7466174409376,2022-11-09
2022-11-09,1164.4046630859375,1164.521484375,1107.89306640625,1109.9549560546875,0,1165.2987020943751,2022-11-09
2022-11-09,1109.5938720703125,1126.74267578125,1104.78466796875,1122.158447265625,0,1154.5136383871877,2022-11-09
2022-11-09,1120.25,1120.25,1083.28564453125,1099.01123046875,456626176,1140.6380364075785,2022-11-09
