Datetime,Open,High,Low,Close,Volume,ema,Date
2022-11-14,16352.0283203125,16384.17578125,16219.1123046875,16258.98828125,850198528,16410.86342612809,2022-11-14
2022-11-14,16259.8759765625,16289.8173828125,16048.7314453125,16096.642578125,1174116352,16332.308214127315,2022-11-14
2022-11-14,16101.4404296875,16103.9638671875,15977.375,16060.3798828125,1117460480,16264.326131298612,2022-11-14
2022-11-14,16113.9169921875,16174.25,16113.9169921875,16142.7119140625,543178752,16233.922576989584,2022-11-14
2022-11-14,16143.478515625,16143.478515625,15920.6220703125,15965.6279296875,930488320,16166.848915164062,2022-11-14
2022-11-14,15966.9384765625,15996.279296875,15876.1357421875,15876.611328125,705900544,16094.289518404295,2022-11-14
2022-11-14,15875.830078125,16484.337890625,15872.94140625,16484.337890625,2208714752,16191.801611459472,2022-11-14
2022-11-14,16581.626953125,16804.560546875,16430.984375,16788.078125,3163410432,16340.870739844604,2022-11-14
2022-11-14,16792.921875,16864.763671875,16739.353515625,16779.583984375,1595387904,16450.549050977203,2022-11-14
2022-11-14,16771.671875,16771.671875,16685.376953125,16765.71484375,0,16529.3404991704,2022-11-14
2022-11-14,16754.826171875,16795.92578125,16721.2109375,16788.39453125,248389632,16594.1040071903,2022-11-14
2022-11-14,16782.203125,16825.048828125,16748.6875,16758.2109375,421564416,16635.130739767726,2022-11-14
2022-11-14,16756.3515625,16796.91015625,16699.20703125,16791.791015625,750718976,16674.295808732044,2022-11-14
2022-11-14,16793.251953125,17109.32421875,16668.455078125,16770.58984375,2753830912,16698.369317486533,2022-11-14
2022-11-14,16760.822265625,16779.056640625,16541.607421875,16605.904296875,2153172992,16675.25306233365,2022-11-14
2022-11-14,16611.166015625,16655.06640625,16511.2578125,16594.169921875,776724480,16654.982277218987,2022-11-14
2022-11-14,16592.548828125,16602.751953125,16425.591796875,16460.392578125,651116544,16606.334852445492,2022-11-14
2022-11-14,16465.306640625,16572.037109375,16465.306640625,16562.873046875,537247744,16595.46940105287,2022-11-14
2022-11-14,16567.41015625,16622.328125,16543.712890625,16615.505859375,204517376,16600.478515633404,2022-11-14
2022-11-14,16611.1484375,16616.158203125,16297.0947265625,16297.0947265625,381067264,16524.632568365676,2022-11-14
2022-11-14,16296.0068359375,16351.9140625,16267.33203125,16270.5732421875,946040832,16461.117736821132,2022-11-14
2022-11-14,16276.5908203125,16389.072265625,16276.5908203125,16389.072265625,0,16443.106369022098,2022-11-14
2022-11-14,16391.12109375,16420.115234375,16371.3779296875,16417.078125,0,16436.59930801657,2022-11-14
2022-11-14,16417.927734375,16694.603515625,16413.599609375,16616.509765625,953241600,16481.57692241868,2022-11-14
