c,time
1.006675,0
1.00665001,1
1.00665074,2
1.00667,3
1.00669,4
1.00668,5
1.00667128,6
1.00675648,7
1.00686,8
1.00689,9
1.00689972,10
1.00695001,11
1.00695001,12
1.006855,13
1.00704,14
1.00730871,15
1.0074,16
1.00740999,17
1.00747,18
1.0073087,19
1.007499,20
1.0075035,21
1.00746,22
1.00744815,23
1.00741717,24
1.007339,25
1.007722,26
1.00749013,27
1.00737031,28
1.007488,29
1.00745587,30
1.00746,31
1.00735835,32
1.00748601,33
1.00740999,34
1.00729583,35
1.00725075,36
1.00735001,37
1.00745075,38
1.00745075,39
1.00740002,40
1.00745001,41
1.00720855,42
1.00744318,43
1.007584,44
1.00753533,45
1.00752828,46
1.00748,47
1.0076973,48
1.007418,49
1.007472,50
1.007539,51
1.00758793,52
1.00747,53
1.00754,54
1.00773,55
1.007757,56
1.00773,57
1.0077538,58
1.00770685,59
