c,time
1.010445,0
1.0105125,1
1.010445,2
1.01023942,3
1.01005038,4
1.00995038,5
1.00969501,6
1.00965883,7
1.00974136,8
1.00977537,9
1.00985,10
1.0099565,11
1.0098479,12
1.0097563,13
1.00976037,14
1.00977537,15
1.00975787,16
1.009935,17
1.0099445,18
1.009985,19
1.00988575,20
1.00991366,21
1.00955038,22
1.00955287,23
1.00945038,24
1.00937537,25
1.00935038,26
1.00935787,27
1.0093325,28
1.0093275,29
1.00925038,30
1.00925038,31
1.0093525,32
1.009245,33
1.00918,34
1.009,35
1.00853184,36
1.00838574,37
1.00849784,38
1.00852362,39
1.0086,40
1.008715,41
1.00868852,42
1.00875578,43
1.00854085,44
1.00802,45
1.00805403,46
1.00804793,47
1.007935,48
1.00771825,49
1.00808501,50
1.00816633,51
1.008435,52
1.0085,53
1.00845037,54
1.00837249,55
1.00840017,56
1.00862,57
1.00880249,58
1.00882167,59
