c,time
0.99999999,0
0.99999918,1
0.99999096,2
0.999991,3
0.99999999,4
0.99998662,5
0.99999999,6
0.999989,7
0.99995,8
0.999988,9
0.99995001,10
0.999964,11
0.99999315,12
0.999968,13
0.99999999,14
0.99997207,15
0.99999999,16
0.999961,17
0.999965,18
0.99998407,19
0.99999999,20
0.999953,21
0.9999988,22
0.99999999,23
0.99999976,24
0.99998905,25
0.99999999,26
0.99999999,27
0.99995001,28
0.99995001,29
0.99995001,30
1.0,31
1.0,32
1.0,33
1.0,34
0.99999999,35
1.0,36
0.999981,37
0.999989,38
0.9999936,39
0.99998349,40
0.99999999,41
0.99999902,42
0.99999999,43
0.99999999,44
0.99999899,45
1.0,46
1.0,47
0.99998449,48
0.99999999,49
0.99998765,50
1.0,51
1.0,52
1.0,53
1.0,54
1.0,55
1.0,56
1.0,57
1.0,58
0.99999999,59
0.99999477,0
0.99999999,1
0.999975,2
0.99998494,3
0.99999887,4
0.99999999,5
0.99997145,6
0.99997247,7
0.99995,8
0.99995,9
0.99995,10
0.99999999,11
0.99996948,12
0.9999929,13
0.99999999,14
0.99999999,15
0.99995,16
0.99999943,17
0.99995001,18
0.99995,19
0.99999627,20
0.99999999,21
0.99999346,22
0.99999999,23
0.99999999,24
0.99999999,25
0.99999132,26
0.99999999,27
0.99994893,28
0.99999999,29
0.99999999,30
1.0,31
1.0,32
0.99999999,33
1.0,34
1.00000154,35
1.0,36
1.00000003,37
1.0,38
0.99999999,39
0.99999999,40
1.0,41
0.99999999,42
1.0,43
0.99999541,44
1.0,45
1.0,46
1.0,47
0.99999774,48
0.99999979,49
0.99999977,50
0.99999721,51
0.9999717,52
0.99999999,53
0.999999,54
0.9999918,55
0.999975,56
0.9999625,57
0.999975,58
0.999975,59
